# SCANS.tsv - which scan each transcription was made from, and proof it is that scan.
# IDENTITY IS THE sha256, NOT THE PATH. Rename or reorganise ~/bibliotek freely:
#   `python3 scans.py verify` re-finds a moved file by size then hash and tells you where it went.
# scan paths are relative to ~/bibliotek, unless they start with texts/ (the book's own directory).
# Several books legitimately share one scan (anthology volumes) - 59 books, 52 distinct scans.
# witness: USABLE = embedded text layer serves ocrdiff; NO LAYER = build a tesseract witness.
# Rebuild: scans.py rehash.   Seeded 2026-09-13.
book	scan	sha256	bytes	pages	page_size	witness	note
brandes/levned	Brandes, Georg/1905-levned-bd1.pdf	38cee76a124fbdcab2b45ef2a3a6acd003fc78fe54cd88c2debc3cc652cc168b	21709736	429	595.275 x 841.889 pts (A4)	USABLE	
brochner/brandes-levned	Brandes, Georg/1905-levned-bd1.pdf	38cee76a124fbdcab2b45ef2a3a6acd003fc78fe54cd88c2debc3cc652cc168b	21709736	429	595.275 x 841.889 pts (A4)	USABLE	
brochner/det-religioese	Brøchner, Hans/1869-det-religioese.pdf	953cd98679443323ac7fbfa6c3b20f376ef2f63b6968a667d4264170574b07c6	114366248	229	595.275 x 841.889 pts (A4)	USABLE	
brochner/kierkegaard-virksomhed	Brøchner, Hans/2016-koch-broechners-bidrag-kierkegaard-receptionen.pdf	5b34b32b777ee22b3c3b7c975d7a082a7af6411898a82b96b5b76ac0ef1a6bad	92744243	204	425.5 x 653.3 pts	USABLE	Koch (ed.), Scientia Danica H8 vol.13, 2016, 204 pp., ISBN 978-87-7304-396-7. OPEN ACCESS, whole volume + single afhandling as PDF: http://publ.royalacademy.dk/books/679/4893?lang=da
brochner/philosophiens-historie-1	Brøchner, Hans/1873-1874-philosophiens-historie.pdf	b62bfa3f33ae19c09c09f0c88714b5dd62794819a6101bcd5a6ceb89797d7807	62539411	597	612 x 792 pts (letter)	USABLE	
brochner/philosophiens-historie-2	Brøchner, Hans/1873-1874-philosophiens-historie.pdf	b62bfa3f33ae19c09c09f0c88714b5dd62794819a6101bcd5a6ceb89797d7807	62539411	597	612 x 792 pts (letter)	USABLE	
brochner/philosophiens-udvikling	UNRESOLVED					SCAN NOT FOUND	likely Brøchner, Hans/bidrag-philosophiens-1869.pdf (2/7 probes) - CONFIRM
brochner/problemet-tro-viden	Brøchner, Hans/1868-problemet-tro-viden.pdf	dfb663931ed9f23fcd7f97d598437ac7b614bf4487e8b0d44ac8b87ca622040c	92646696	241	595.275 x 841.889 pts (A4)	USABLE	
brochner/spinoza	Brøchner, Hans/1857-spinoza.pdf	5bb8c033b1cd58c1d1716f9d16cbae6194bcb384e7e8739ab47fa4fe735ee043	5752103	202	350.16 x 550.08 pts	USABLE	
brochner/svar-nielsen	Brøchner, Hans/1868-svar-nielsen.pdf	903a05fc505f454e3b06f29010e5dd955210f834be33111777666f9a66ea08f7	2313241	42	350.16 x 581.04 pts	USABLE	
