# ACCURACY LEDGER - what is known about each transcription's word-accuracy.
# Process: REPAIR-PLAYBOOK.md.  Seeded 2026-09-13.  TRACK THIS FILE IN GIT.
# status: unassessed | blocked-no-scan | sampled-clean | repair-targeted | repair-full | repaired | no-original
# rate is errors per page; a bound like <=0.25 means a clean sample, not a measurement of 0.
book	state	witness	size_kb	marks	sampled	errors	rate	ocrdiff_prec	treatment	status	date	note
brochner/philosophiens-historie-1	published	USABLE	1193	275	-	-	-	-	-	unassessed	-	
nielsen/propaedeutik-1860-61	published	USABLE	1109	482	-	-	-	-	-	unassessed	-	batches 15-18 (pp.177-236) were the Sonnet experiment; 61 corrections applied
nielsen/logik-og-psychologie	published	USABLE	1067	482	-	-	-	-	-	unassessed	-	
nielsen/religionsphilosophie	published	USABLE	1044	538	-	-	-	-	-	unassessed	-	
nielsen/grundideernes-logik	published	USABLE	948	457	-	-	-	-	-	unassessed	-	
hoeffding/menneskelige-tanke	published	USABLE	838	395	392 (all)	~350	0.9 -> collated	85%	full collation	repaired	2026-09-12	full collation 2026-09-12; calibration case
brochner/det-religioese	published	USABLE	565	211	-	-	-	-	-	unassessed	-	
brochner/problemet-tro-viden	published	USABLE	457	219	-	-	-	-	-	unassessed	-	
brochner/spinoza	published	USABLE	450	188	-	-	-	-	-	unassessed	-	
nielsen/videnskabslaere	published	USABLE	425	281	-	-	-	-	-	unassessed	-	
nielsen/evangelietroen-theologien	published	USABLE	359	174	-	-	-	-	-	unassessed	-	
sibbern/bemaerkninger	published	USABLE	305	133	-	-	-	-	-	unassessed	-	
sibbern/erkjendelse	published	USABLE	287	201	-	-	-	-	-	unassessed	-	
sibbern/om-elskov	published	USABLE	261	165	-	-	-	-	-	unassessed	-	
hoeffding/relation-som-kategori	published	USABLE	246	107	-	-	-	-	-	unassessed	-	pp.72-76 imported legacy text, ~2 err/pg found 2026-08
nielsen/grundideernes-logik-kort-begreb	published	USABLE	203	89	-	-	-	-	-	unassessed	-	
moller/udoedelighed	published	SCAN NOT FOUND	200	118	-	-	-	-	-	blocked-no-scan	-	locate the scan before assessing - not the same as having no original
nielsen/johannesclimacos	published	USABLE	200	131	-	-	-	-	-	unassessed	-	
